en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"So I want to get in the machine, and I want to go forward.",也就是说，我想走进这个机器，走到未来。,"所以我要进入机器,我要前进。",24.988,11.597,7.319,4.997,7.234,6.201,73.684,0.182,0.286,0.222,0,0,0,0.167,0.25,0.2,0.708,0.77,0.738
"This is the greatest time there's ever been on this planet  by any measure that you wish to choose:  health, wealth,  mobility, opportunity,  declining rates of disease ...",我们这个时代是最美好的时代， 不管你用何种方式来衡量，如： 健康、财富、 流动性、机遇、 患病率不断下降。,"这是世界上有史以来最大的时间,你想要选择的任何尺寸:健康、财富、流动性、机会、疾病率下降。",50.83,38.468,31.577,27.217,26.958,23.107,59.184,0.308,0.348,0.327,0.2,0.231,0.214,0.355,0.407,0.379,0.731,0.725,0.728
There's never been a time like this.,从来没有过这么好的时代。,这样的时刻从来没有发生过。,69.231,48.038,34.749,25.451,21.791,18.678,58.333,0.625,0.625,0.625,0.143,0.143,0.143,0.5,0.5,0.5,0.784,0.765,0.774
"My great-grandparents died, all of them,  by the time they were 60.",我的曾祖父母 在60岁的时候就死去了。,"我的祖父母去世了,他们都是60岁的时候去世的。",59.091,44.381,34.026,25.376,25.354,21.732,70.588,0.667,0.615,0.64,0.333,0.267,0.296,0.615,0.5,0.552,0.881,0.831,0.855
My grandparents pushed that number to 70.,我的祖父母70多岁就死了。,我的祖父母把这个数字推到70。,50,39.223,33.755,28.918,22.98,19.697,66.667,0.556,0.556,0.556,0.25,0.25,0.25,0.556,0.556,0.556,0.762,0.726,0.743
My parents are closing in on 80.,我的父母过世时是80几岁。,我的父母在80年关闭。,49.124,36.615,30.162,23.802,23.06,19.766,58.333,0.556,0.625,0.588,0.25,0.286,0.267,0.556,0.625,0.588,0.751,0.794,0.772
So there better be  a nine at the beginning of my death number.,我希望我死去的时候 是在一个9数字开头的时候。,"因此,在我死亡的开始时,最好有九。",30.684,11.954,7.081,4.662,7.904,6.775,81.818,0.333,0.333,0.333,0,0,0,0.2,0.231,0.214,0.689,0.694,0.692
"But it's not even about people like us,  because this is a bigger deal than that.",但这不仅仅是关乎我们这些人的事情， 因为事实比我们自身大得多。,"但这甚至不是关于像我们这样的人,因为这是一个比这更大的交易。",50,29.361,14.548,8.69,11.802,10.116,66.667,0.471,0.421,0.444,0.059,0.05,0.054,0.389,0.333,0.359,0.755,0.751,0.753
A kid born in New Delhi today  can expect to live as long as the richest man in the world did 100 years ago.,今天在新德里出生的一个小孩 可以像100年前世界上最富的人,一个出生在新德里的孩子今天可以期望活到世界上最富有的人在100年前。,75,58.199,40.765,28.933,28.792,24.679,57.692,0.8,0.632,0.706,0.267,0.2,0.229,0.5,0.381,0.432,0.849,0.805,0.826
"Think about that, it's an incredible fact.",一样长寿命。 大家认真想想。这是个很了不起的事实啊。,"想一想,这是一个令人难以置信的事实。",37.656,21.223,12.403,8.103,13.242,11.35,76,0.214,0.333,0.261,0.067,0.125,0.087,0.188,0.333,0.24,0.689,0.752,0.719
And why is it true?,为什么会出现这样的事实呢？,為什麼是真實的?,13.382,7.153,4.85,3.515,4.167,3.571,84.615,0.125,0.167,0.143,0,0,0,0.125,0.167,0.143,0.702,0.772,0.735
Smallpox. Smallpox killed billions  of people on this planet.,是因为我们消灭了天花。 天花曾夺去了地球上数以亿计的人的生命。,Smallpox在这个星球上杀死了数十亿人。,17.168,6.717,3.996,2.645,6.097,5.226,80,0.286,0.4,0.333,0,0,0,0.167,0.3,0.214,0.687,0.75,0.717
It reshaped the demography of the globe  in a way that no war ever has.,它重塑了地球的人口布局， 这是任何战争也无法相比的。,"它恢复了世界人口,以一种从未有过战争的方式。",31.728,16.237,8.316,5.069,7.648,6.555,76,0.4,0.462,0.429,0,0,0,0.375,0.462,0.414,0.701,0.72,0.71
It's gone. It's vanished.,但今天它已被彻底消灭了。,"它消失了,它消失了。",32.749,17.26,11.509,8.171,8.519,7.302,75,0.333,0.6,0.429,0.125,0.2,0.154,0.333,0.375,0.353,0.639,0.761,0.695
We vanquished it. Puff.,是人类铲除了它。,"我打败了,Puff。",24.768,13.376,9.188,6.77,3.333,2.857,87.5,0.333,0.333,0.333,0,0,0,0.333,0.333,0.333,0.642,0.683,0.662
"In the rich world,  diseases that threatened millions of us just a generation ago  no longer exist, hardly.",在当今的富有社会里 仅仅一代人之前还给数百万人的生命带来威胁的疾病已经 几乎不再出现了。,"在这个丰富的世界里,几年前威胁着数以百万计的人的疾病已经不存在了。",48.446,30.365,18.939,13.627,18.071,15.49,61.905,0.409,0.474,0.439,0.174,0.2,0.186,0.375,0.429,0.4,0.748,0.793,0.77
"Diphtheria, rubella, polio ...","白喉, 德国麻疹，小儿麻痹症都几乎不存在了。",白<unk>、<unk>、<unk>。,8.314,4.327,2.844,1.985,1.754,1.504,90.476,0.083,0.167,0.111,0,0,0,0.083,0.077,0.08,0.547,0.572,0.559
does anyone even know what those things are?,你们知道这些名字是什么意思吗？,有没有人知道这些事情是什么呢?,46.667,40.825,33.755,23.794,18.965,16.256,66.667,0.444,0.444,0.444,0.25,0.25,0.25,0.444,0.444,0.444,0.75,0.748,0.749
"Vaccines, modern medicine,  our ability to feed billions of people,  those are triumphs of the scientific method.",疫苗和现代医学 以及人类为数百万人提供食品的能力， 这些都是科学方法的胜利。,"疫苗,现代医学,我们能喂养数十亿人,这些都是科学方法的胜利。",57.311,49.265,43.996,40.087,43.398,37.198,44.444,0.55,0.688,0.611,0.35,0.412,0.378,0.524,0.611,0.564,0.825,0.866,0.845
"And to my mind, the scientific method --  trying stuff out,  seeing if it works, changing it when it doesn't --  is one of the great accomplishments of humanity.",在我看来，科学方法 就是不断的尝试， 检验，改变的过程。 它本身也是人类最伟大的功绩之一。,"對我來說,科學方法 - 試探,看看它是否工作,改變它不時 - 是人類的偉大成就之一。",40.267,19.795,9.932,5.958,9.721,7.291,73.81,0.286,0.273,0.279,0.04,0.04,0.04,0.231,0.231,0.231,0.762,0.763,0.762
So that's the good news.,所以这些都是好消息。,这就是好消息。,55.838,49.244,45.594,41.917,49.286,42.245,40,0.333,0.5,0.4,0.2,0.333,0.25,0.333,0.5,0.4,0.835,0.903,0.868
"Unfortunately, that's all the good news  because there are some other problems, and they've been mentioned many times.",但不幸的是，好消息就这么多， 因为我们还遇到了其他一些难题，也被提到过很多次。,"不幸的是,这是所有的好消息,因为有其他问题,并且它们已经提到很多次。",52.295,39.366,27.818,18.745,19.039,16.319,63.158,0.417,0.556,0.476,0.16,0.2,0.178,0.385,0.476,0.426,0.761,0.785,0.773
"And one of them is that  despite all our accomplishments,  a billion people go to bed hungry  in this world every day.",其中一个就是， 虽然我们取得了巨大的进步， 但是现在世界上还有10亿人吃不饱肚子， 每天，他们都在忍受饥饿的折磨。,"其中一个是,尽管我们取得了所有成就,但每天有十亿人都会在这个世界里饥饿地睡觉。",42.978,29.477,20.165,14.78,19.198,16.456,64.151,0.393,0.44,0.415,0.097,0.12,0.107,0.312,0.385,0.345,0.783,0.827,0.805
"That number's rising, and it's rising really rapidly, and it's disgraceful.",这一数字还在上升，并且上升的速度很快。这是足以让我们丢脸的。,"这个数字正在上升,而且它正在迅速上升,这是可耻的。",45.849,30.634,14.949,8.879,14.225,12.193,60,0.312,0.417,0.357,0.056,0.077,0.065,0.316,0.4,0.353,0.783,0.83,0.806
"And not only that, we've used our imagination  to thoroughly trash this globe.",不仅如此，人类的想象力 还给地球带来了巨大的垃圾。,"不仅如此,我们已经利用我们的想象力彻底破坏了这个世界。",37.037,29.235,23.914,18.373,14.075,12.064,83.333,0.417,0.385,0.4,0.083,0.077,0.08,0.385,0.357,0.37,0.767,0.754,0.761
"Potable water, arable land,  rainforests, oil, gas:  they're going away, and they're going away soon,  and unless we innovate our way out of this mess,  we're going away too.",饮用水、可耕地、 热带雨林、石油、天然气， 这些资源都在消失，并且消失的速度也很快。 除非我们懂得去创新， 否则我们就没有任何希望了。,"可饮用水、草地、雨林、石油、天然气:它们正在消失,它们很快就会消失,除非我们创新出这种混乱的道路,我们也会消失。",56.732,43.722,33.468,26.583,26.207,22.463,55.556,0.448,0.52,0.481,0.139,0.156,0.147,0.378,0.4,0.389,0.757,0.802,0.779
So the question is: Can we do that? And I think we can.,问题是：我们做得到吗？我想我们可以做到。,"那么,问题是:我们可以这样做吗?我认为我们可以。",54.167,37.59,26.809,17.404,16.442,14.093,65,0.615,0.571,0.593,0.154,0.143,0.148,0.643,0.562,0.6,0.847,0.809,0.828
I think it's clear that we can make food  that will feed billions of people without raping the land that they live on.,我认为我们可以生产出足以养活数十亿人的粮食， 而不会损害他们赖以生存的土地。,"我认为很明显,我们可以制作能给数十亿人喂食的食物,而不会强奸他们所居住的土地。",56.41,45.588,35.552,24.737,20.535,17.601,59.459,0.6,0.522,0.558,0.3,0.25,0.273,0.619,0.52,0.565,0.846,0.834,0.84
I think we can power this world with energy  that doesn't also destroy it.,我认为我们可以找到环境友好的能源 来供给世界能量。,"我认为我们可以用能量来支配这个世界,这也不会摧毁它。",50,40,32.183,27.593,23.897,20.484,66.667,0.615,0.471,0.533,0.25,0.188,0.214,0.538,0.412,0.467,0.792,0.756,0.774
"I really do believe that, and, no, it ain't wishful thinking.",我确实是深信这样的理论的，这绝对不是臆想。,"我真的相信这一点,而且,不,这不是有望的思考。",39.13,18.861,9.461,5.704,8.037,6.889,85.714,0.385,0.385,0.385,0,0,0,0.286,0.25,0.267,0.749,0.724,0.737
But here's the thing that keeps me up at night --  one of the things that keeps me up at night:  We've never needed progress in science more than we need it right now. Never.,但我总是遇到让我晚上睡不着觉的事情。 这是其中一个让我晚上睡不着的事情。 人类历史上从来没有象今天这样急需科技的进步,"但是,这就是我在夜间醒来的东西,那就是我在夜间醒来的东西之一:我们从来没有需要科学的进步,比我们现在更需要它。",35.708,18.019,12.175,7.641,8.868,7.601,85.714,0.24,0.25,0.245,0.071,0.069,0.07,0.235,0.222,0.229,0.714,0.739,0.726
And we've also never been in a position  to deploy it properly in the way that we can today.,而历史上我们也从未有过像今天这样的时机， 我们可以按照我们的意愿去使用这些科技。,"而且,我们也从未有过能够以我们今天所能的方式正确地部署它。",36.638,27.231,21.346,18.044,22.422,19.219,66.667,0.3,0.375,0.333,0.091,0.125,0.105,0.261,0.353,0.3,0.734,0.761,0.748
"We're on the verge of amazing, amazing events  in many fields,  and yet I actually think we'd have to go back  hundreds, 300 years, before the Enlightenment,  to find a time when we battled progress,  when we fought about these things  more vigorously, on more fronts, than we do now.",在许多领域，我们都站在了惊人发现的 时代。 事实上，我认为我们需要往回看， 回到300年前，回到文艺复兴之前的年代， 只有在那个年代，才有人要抵抗进步， 才会有人比我们今天更加 猛烈的去反抗科技的进步。,"我们正处于许多领域的令人惊叹、令人惊叹的事件的边缘,但我实际上认为,在启示之前,我们必须回到数百、300年,寻找一场战斗进展的时刻,战斗这些事情的时刻,更有活力,在更多的前线上,比我们现在做得多。",41.667,22.942,11.887,6.519,10.767,9.229,83.871,0.3,0.293,0.296,0.036,0.034,0.035,0.22,0.21,0.215,0.716,0.708,0.712
"People wrap themselves in their beliefs,  and they do it so tightly that you can't set them free.",人们总是喜欢把自己放在自己的理念框架里， 他们把自己包得那么死，往往无法脱身。,"人们把自己沉浸在他们的信仰中,他们这样做是如此紧密,以至于你不能让他们自由。",31.579,20.658,13.334,9.072,8.918,7.644,84.211,0.316,0.286,0.3,0.048,0.043,0.045,0.261,0.25,0.255,0.744,0.725,0.734
Not even the truth will set them free.,即使是听到了真理也不能使他们产生动摇。,即使是真理也不会让他们自由。,49.977,40.173,30.449,20.585,25.279,21.668,47.368,0.5,0.667,0.571,0.182,0.25,0.211,0.5,0.667,0.571,0.784,0.862,0.821
"And, listen, everyone's entitled to their opinion;  they're even entitled to their opinion about progress.",听着，每个人都可以坚持他的观点， 他们甚至可以坚持他们关于进步的观点，,"听,每个人都有自己的意见;他们甚至有关于进步的意见的权利。",43.533,36.173,30.564,24.658,22.125,18.964,64.706,0.6,0.562,0.581,0.278,0.278,0.278,0.455,0.5,0.476,0.801,0.816,0.808
But you know what you're not entitled to?,但你知道你不能坚持什么吗？,"但是,你知道你没有什么权利吗?",53.333,39.036,28.62,21.024,17.604,15.089,61.538,0.5,0.444,0.471,0.25,0.222,0.235,0.556,0.5,0.526,0.831,0.814,0.823
"You're not entitled to your own facts. Sorry, you're not.",你不能只坚持你自己所知道的事实。真的，你不能。,"你對自己的事實沒有權利,對不起,你不。",38.376,22.763,10.728,6.288,10.673,9.148,78.261,0.333,0.364,0.348,0,0,0,0.312,0.357,0.333,0.707,0.721,0.714
And this took me awhile to figure out.,我也是花了一段时间才领悟出来的,这需要我一会儿来找出。,25.278,9.373,5.536,3.684,6.061,5.195,86.667,0.1,0.143,0.118,0,0,0,0.1,0.143,0.118,0.695,0.702,0.698
"About a decade ago, I wrote a story about vaccines  for The New Yorker. A little story.",大约十年前，我给《纽约客》写了一个故事 一个关于疫苗小故事。,"大约十年前,我写了一篇关于新约克疫苗的故事。",56.214,44.128,32.84,22.82,27.662,23.711,48.276,0.556,0.667,0.606,0.211,0.286,0.242,0.5,0.667,0.571,0.837,0.88,0.858
"And I was amazed to find opposition:  opposition to what is, after all,  the most effective public health measure in human history.",但我发现竟然有那么多人要反对我 他们反对的是 人类历史上最有效的公共卫生预防措施。,我惊讶地发现了反对:反对的是人类历史上最有效的公共卫生措施。,61.735,56.161,51.111,47.589,59.882,51.328,38.462,0.632,0.706,0.667,0.429,0.5,0.462,0.636,0.737,0.683,0.81,0.882,0.844
"I didn't know what to do,  so I just did what I do: I wrote a story and I moved on.",我真的不知该怎么做， 我就只做自己该做的。故事写完，我就做别的事。,"我不知道该怎么做,所以我只是做了我做的事情:我写了一个故事,然后我继续前进。",47.368,29.936,17.075,10.921,12.45,10.671,81.25,0.471,0.421,0.444,0.13,0.115,0.122,0.423,0.407,0.415,0.781,0.764,0.772
